Pos 1 - Z HUONG LEN
ax,ay,az
-0.0217,0.0172,0.9910
-0.0143,0.0252,0.9871
-0.0125,0.0275,0.9857
-0.0154,0.0206,0.9860
-0.0217,0.0173,0.9839
-0.0137,0.0212,0.9861
-0.0221,0.0280,0.9880
-0.0163,0.0246,0.9839
-0.0214,0.0279,0.9878
-0.0153,0.0139,0.9919
-0.0197,0.0326,0.9862
-0.0179,0.0273,0.9849
-0.0149,0.0227,0.9925
-0.0152,0.0267,0.9855
-0.0187,0.0260,0.9809
-0.0199,0.0283,0.9836
-0.0135,0.0228,0.9891
-0.0220,0.0267,0.9896
-0.0140,0.0297,0.9924
-0.0173,0.0207,0.9926
-0.0226,0.0235,0.9906
-0.0164,0.0306,0.9880
-0.0239,0.0240,0.9886
-0.0192,0.0299,0.9871
-0.0230,0.0266,0.9840
-0.0121,0.0259,0.9831
-0.0142,0.0333,0.9810
-0.0148,0.0267,0.9886
-0.0168,0.0267,0.9856
-0.0131,0.0203,0.9949
-0.0127,0.0208,0.9880
-0.0130,0.0233,0.9874
-0.0194,0.0291,0.9859
-0.0180,0.0269,0.9873
-0.0210,0.0203,0.9827
-0.0221,0.0190,0.9855
-0.0169,0.0252,0.9851
-0.0216,0.0215,0.9831
-0.0223,0.0275,0.9831
-0.0179,0.0228,0.9965
-0.0243,0.0257,0.9868
-0.0207,0.0261,0.9885
-0.0217,0.0265,0.9894
-0.0134,0.0229,0.9931
-0.0187,0.0181,0.9898
-0.0183,0.0219,0.9913
-0.0197,0.0286,0.9877
-0.0154,0.0274,0.9897
-0.0216,0.0282,0.9881
-0.0110,0.0267,0.9906
-0.0207,0.0236,0.9883
-0.0221,0.0209,0.9876
-0.0183,0.0257,0.9919
-0.0194,0.0274,0.9875
-0.0187,0.0259,0.9808
-0.0178,0.0228,0.9847
-0.0246,0.0234,0.9814
-0.0150,0.0242,0.9821
-0.0204,0.0276,0.9859
-0.0190,0.0237,0.9876
-0.0239,0.0248,0.9860
-0.0077,0.0243,0.9864
-0.0145,0.0245,0.9889
-0.0211,0.0304,0.9858
-0.0167,0.0290,0.9869
-0.0180,0.0271,0.9904
-0.0218,0.0256,0.9847
-0.0206,0.0227,0.9923
-0.0124,0.0341,0.9878
-0.0209,0.0216,0.9936
-0.0234,0.0239,0.9860
-0.0119,0.0215,0.9919
-0.0134,0.0244,0.9896
-0.0234,0.0247,0.9872
-0.0270,0.0265,0.9892
-0.0239,0.0201,0.9854
-0.0199,0.0239,0.9846
-0.0215,0.0261,0.9863
-0.0184,0.0242,0.9896
-0.0185,0.0280,0.9884
-0.0149,0.0294,0.9829
-0.0148,0.0312,0.9846
-0.0181,0.0237,0.9895
-0.0162,0.0227,0.9926
-0.0210,0.0245,0.9916
-0.0112,0.0232,0.9907
-0.0172,0.0195,0.9847
-0.0222,0.0232,0.9865
-0.0179,0.0295,0.9895
-0.0087,0.0241,0.9908
-0.0165,0.0303,0.9867
-0.0150,0.0307,0.9855
-0.0183,0.0268,0.9865
-0.0211,0.0314,0.9872
-0.0119,0.0232,0.9873
-0.0152,0.0243,0.9849
-0.0205,0.0260,0.9857
-0.0177,0.0171,0.9860
-0.0186,0.0232,0.9845
-0.0211,0.0252,0.9932
-0.0229,0.0240,0.9914
-0.0168,0.0247,0.9864
-0.0180,0.0246,0.9803
-0.0205,0.0182,0.9925
-0.0151,0.0222,0.9908
-0.0094,0.0228,0.9925
-0.0167,0.0242,0.9841
-0.0199,0.0236,0.9799
-0.0161,0.0239,0.9896
-0.0195,0.0355,0.9822
-0.0213,0.0275,0.9963
-0.0215,0.0314,0.9848
-0.0135,0.0253,0.9958
-0.0118,0.0227,0.9983
-0.0219,0.0239,0.9943
-0.0206,0.0228,0.9885
-0.0164,0.0264,0.9854
-0.0173,0.0272,0.9933
-0.0169,0.0206,0.9881
-0.0202,0.0296,0.9821
-0.0160,0.0213,0.9925
-0.0153,0.0258,0.9898
-0.0192,0.0274,0.9878
-0.0154,0.0252,0.9793
-0.0198,0.0303,0.9931
-0.0176,0.0246,0.9868
-0.0158,0.0270,0.9846
-0.0157,0.0293,0.9847
-0.0187,0.0266,0.9905
-0.0195,0.0231,0.9864
-0.0167,0.0265,0.9879
-0.0228,0.0212,0.9902
-0.0223,0.0258,0.9867
-0.0201,0.0251,0.9939
-0.0170,0.0240,0.9828
-0.0162,0.0290,0.9901
-0.0139,0.0267,0.9834
-0.0182,0.0268,0.9905
-0.0197,0.0248,0.9893
-0.0136,0.0285,0.9903
-0.0166,0.0214,0.9841
-0.0183,0.0286,0.9894
-0.0160,0.0197,0.9829
-0.0141,0.0249,0.9834
-0.0149,0.0259,0.9983
-0.0136,0.0262,0.9875
-0.0172,0.0246,0.9830
-0.0148,0.0260,0.9784
-0.0202,0.0221,0.9914
-0.0182,0.0302,0.9824
-0.0218,0.0287,0.9857
-0.0217,0.0232,0.9853
-0.0161,0.0289,0.9824
-0.0190,0.0250,0.9883
-0.0151,0.0254,0.9860
-0.0219,0.0186,0.9867
-0.0179,0.0282,0.9867
-0.0099,0.0247,0.9863
-0.0167,0.0216,0.9887
-0.0252,0.0274,0.9882
-0.0173,0.0255,0.9835
-0.0211,0.0305,0.9897
-0.0201,0.0265,0.9894
-0.0112,0.0289,0.9894
-0.0196,0.0312,0.9876
-0.0210,0.0207,0.9850
-0.0193,0.0277,0.9912
