=== BAI 6 - UOC LUONG GOC ROLL / PITCH / YAW ===
Cam bien: MPU6500 | 100Hz | Kalman Filter
Time_ms,Roll_Accel,Pitch_Accel,Roll_Gyro,Pitch_Gyro,Yaw_Gyro,Roll_KF,Pitch_KF,Yaw_KF
0,-0.05,-0.05,-0.00,0.00,-0.00,-0.00,0.00,-0.00
10,-0.52,0.09,-0.00,0.00,-0.00,-0.00,0.00,-0.00
20,0.08,0.33,0.00,0.00,-0.00,-0.00,0.00,-0.00
30,-0.36,0.07,0.00,0.00,-0.00,0.00,0.00,-0.00
40,0.19,-0.41,0.00,0.00,0.00,0.00,0.00,0.00
50,-0.08,0.11,0.00,0.00,-0.00,0.00,0.00,-0.00
60,0.20,-0.42,-0.00,0.00,-0.00,-0.00,0.00,-0.00
70,0.31,0.19,-0.00,0.00,-0.00,-0.00,0.00,-0.00
80,-0.03,-0.08,-0.00,0.00,-0.00,-0.00,0.00,-0.00
90,0.12,0.18,-0.00,0.00,-0.00,-0.00,0.00,-0.00
100,-0.16,0.14,-0.00,0.00,-0.00,-0.00,0.00,-0.00
110,-0.38,0.22,-0.00,0.00,-0.00,-0.00,0.01,-0.00
120,0.50,-0.03,-0.00,0.00,-0.00,-0.00,0.00,-0.00
130,-0.51,0.01,-0.00,0.00,-0.00,-0.00,0.00,-0.00
140,0.20,0.65,-0.00,0.00,-0.00,-0.00,0.01,-0.00
150,-0.29,0.27,-0.00,0.00,-0.00,-0.00,0.01,-0.00
160,-0.25,-0.08,-0.00,0.00,-0.00,-0.01,0.01,-0.00
170,0.15,0.33,-0.00,0.00,-0.00,-0.01,0.01,-0.00
180,0.38,0.25,-0.00,0.00,-0.00,-0.00,0.01,-0.00
190,0.13,0.34,-0.00,0.00,-0.00,-0.00,0.01,-0.00
200,0.56,0.03,-0.00,0.00,-0.00,0.00,0.01,-0.00
210,0.50,0.23,-0.00,0.00,-0.00,0.01,0.01,-0.00
220,0.19,-0.15,-0.00,0.00,0.00,0.01,0.01,0.00
