ax,ay,az,gx,gy,gz
-0.0117,0.0119,0.9839,0.3181,-0.1745,0.2268
-0.0104,0.0074,0.9887,0.3404,-0.2280,0.2332
-0.0139,0.0095,0.9842,0.3329,-0.2004,0.3536
-0.0112,0.0103,0.9833,0.3384,-0.1459,0.2670
-0.0110,0.0030,0.9816,0.3919,-0.1744,0.2137
-0.0178,0.0090,0.9827,0.2384,-0.2098,0.2254
-0.0115,0.0043,0.9851,0.3881,-0.2047,0.3070
-0.0167,0.0073,0.9841,0.2715,-0.1590,0.2769
-0.0079,0.0046,0.9851,0.3153,-0.1330,0.2409
-0.0143,0.0091,0.9863,0.3435,-0.1032,0.2530
-0.0114,0.0151,0.9882,0.3140,-0.1863,0.2984
-0.0090,0.0044,0.9822,0.1974,-0.1881,0.2454
-0.0152,0.0118,0.9826,0.2670,-0.1556,0.2556
-0.0150,0.0052,0.9820,0.2570,-0.1753,0.3425
-0.0141,0.0067,0.9849,0.2461,-0.1890,0.3524
-0.0075,0.0074,0.9897,0.3342,-0.1030,0.2433
-0.0159,0.0069,0.9847,0.2939,-0.1923,0.2957
-0.0128,0.0076,0.9868,0.3531,-0.1923,0.2036
-0.0125,0.0069,0.9875,0.3554,-0.2731,0.1624
-0.0127,0.0098,0.9870,0.2907,-0.1460,0.2203
-0.0126,0.0106,0.9900,0.3092,-0.2452,0.1726
-0.0143,0.0072,0.9840,0.2982,-0.2076,0.2191
-0.0151,0.0056,0.9823,0.2856,-0.1694,0.1781
-0.0134,0.0073,0.9882,0.2557,-0.2141,0.2611
-0.0183,0.0081,0.9864,0.3349,-0.2716,0.1812
-0.0074,0.0089,0.9883,0.3275,-0.2149,0.2110
-0.0145,0.0015,0.9870,0.3467,-0.1766,0.2891
-0.0138,0.0053,0.9857,0.4025,-0.1351,0.2932
-0.0145,0.0104,0.9873,0.3689,-0.1641,0.2519
-0.0115,0.0085,0.9842,0.2857,-0.1396,0.2430
-0.0157,0.0063,0.9822,0.3780,-0.2154,0.1339
