Pos 2 - Z HUONG XUONG
ax,ay,az
-0.0228,0.0237,-1.0111
-0.0177,0.0298,-1.0189
-0.0209,0.0198,-1.0177
-0.0145,0.0256,-1.0066
-0.0139,0.0252,-1.0154
-0.0145,0.0226,-1.0162
-0.0220,0.0254,-1.0076
-0.0178,0.0293,-1.0117
-0.0195,0.0345,-1.0056
-0.0173,0.0221,-1.0176
-0.0166,0.0241,-1.0104
-0.0169,0.0265,-1.0080
-0.0169,0.0225,-1.0147
-0.0160,0.0212,-1.0095
-0.0155,0.0248,-1.0147
-0.0242,0.0211,-1.0177
-0.0179,0.0235,-1.0152
-0.0149,0.0255,-1.0118
-0.0160,0.0286,-1.0176
-0.0155,0.0187,-1.0148
-0.0145,0.0274,-1.0097
-0.0174,0.0299,-1.0174
-0.0191,0.0252,-1.0049
-0.0144,0.0286,-1.0147
-0.0101,0.0267,-1.0155
-0.0098,0.0200,-1.0150
-0.0188,0.0216,-1.0102
-0.0170,0.0254,-1.0054
-0.0237,0.0298,-1.0149
-0.0129,0.0317,-1.0039
-0.0187,0.0209,-1.0109
-0.0182,0.0188,-1.0094
-0.0212,0.0300,-1.0086
-0.0190,0.0251,-1.0128
-0.0196,0.0358,-1.0153
-0.0178,0.0285,-1.0133
-0.0202,0.0203,-1.0078
-0.0155,0.0266,-1.0173
-0.0162,0.0260,-1.0132
-0.0228,0.0248,-1.0150
-0.0177,0.0252,-1.0132
-0.0149,0.0248,-1.0101
-0.0165,0.0285,-1.0154
-0.0192,0.0282,-1.0115
-0.0141,0.0276,-1.0136
-0.0149,0.0241,-1.0087
-0.0115,0.0288,-1.0040
-0.0234,0.0231,-1.0129
-0.0194,0.0263,-1.0133
-0.0141,0.0284,-1.0106
-0.0215,0.0269,-1.0096
-0.0168,0.0251,-1.0071
-0.0199,0.0237,-1.0097
-0.0161,0.0280,-1.0130
-0.0226,0.0207,-1.0135
-0.0152,0.0278,-1.0184
-0.0161,0.0247,-1.0156
-0.0103,0.0259,-1.0091
-0.0090,0.0230,-1.0134
-0.0128,0.0204,-1.0117
-0.0178,0.0284,-1.0106
-0.0212,0.0284,-1.0090
-0.0217,0.0226,-1.0138
-0.0220,0.0287,-1.0131
-0.0190,0.0214,-1.0134
-0.0128,0.0276,-1.0177
-0.0215,0.0272,-1.0137
-0.0199,0.0220,-1.0167
-0.0177,0.0237,-1.0080
-0.0182,0.0216,-1.0096
-0.0133,0.0224,-1.0180
-0.0197,0.0203,-1.0063
-0.0229,0.0239,-1.0068
-0.0150,0.0232,-1.0147
-0.0186,0.0242,-1.0068
-0.0185,0.0203,-1.0085
-0.0144,0.0242,-1.0093
-0.0178,0.0208,-1.0123
-0.0220,0.0228,-1.0153
-0.0168,0.0257,-1.0166
-0.0212,0.0250,-1.0104
-0.0177,0.0173,-1.0075
-0.0118,0.0305,-1.0101
-0.0156,0.0227,-1.0113
-0.0220,0.0254,-1.0170
-0.0160,0.0238,-1.0093
-0.0174,0.0234,-1.0090
-0.0221,0.0241,-1.0139
-0.0154,0.0247,-1.0111
-0.0162,0.0168,-1.0152
-0.0176,0.0285,-1.0100
-0.0134,0.0242,-1.0116
-0.0197,0.0235,-1.0149
-0.0199,0.0243,-1.0143
-0.0179,0.0186,-1.0105
-0.0174,0.0266,-1.0136
-0.0198,0.0284,-1.0125
-0.0110,0.0201,-1.0129
-0.0219,0.0222,-1.0148
-0.0197,0.0277,-1.0160
-0.0159,0.0200,-1.0134
-0.0134,0.0266,-1.0110
-0.0158,0.0270,-1.0098
-0.0131,0.0214,-1.0122
-0.0158,0.0276,-1.0100
-0.0134,0.0232,-1.0167
-0.0135,0.0250,-1.0139
-0.0179,0.0235,-1.0085
-0.0149,0.0261,-1.0101
-0.0179,0.0286,-1.0203
-0.0221,0.0249,-1.0134
-0.0213,0.0272,-1.0154
-0.0172,0.0254,-1.0118
-0.0209,0.0243,-1.0077
-0.0161,0.0284,-1.0123
-0.0240,0.0234,-1.0125
-0.0134,0.0290,-1.0105
-0.0210,0.0254,-1.0129
-0.0189,0.0207,-1.0104
-0.0181,0.0278,-1.0171
-0.0219,0.0378,-1.0151
-0.0170,0.0265,-1.0154
-0.0120,0.0248,-1.0115
-0.0116,0.0222,-1.0137
-0.0192,0.0202,-1.0110
-0.0163,0.0256,-1.0097
-0.0150,0.0262,-1.0128
-0.0137,0.0226,-1.0071
-0.0187,0.0277,-1.0056
-0.0259,0.0243,-1.0134
-0.0120,0.0236,-1.0024
-0.0233,0.0262,-1.0134
-0.0162,0.0230,-1.0136
-0.0244,0.0254,-1.0172
-0.0226,0.0253,-1.0124
-0.0144,0.0203,-1.0105
-0.0169,0.0239,-1.0148
-0.0183,0.0281,-1.0133
-0.0150,0.0240,-1.0060
-0.0179,0.0244,-1.0176
-0.0230,0.0263,-1.0128
-0.0170,0.0226,-1.0125
-0.0202,0.0260,-1.0128
-0.0115,0.0226,-1.0081
-0.0217,0.0234,-1.0149
-0.0136,0.0265,-1.0115
-0.0172,0.0212,-1.0071
-0.0131,0.0249,-1.0120
-0.0157,0.0244,-1.0127
-0.0197,0.0238,-1.0137
-0.0154,0.0239,-1.0135
-0.0202,0.0198,-1.0065
-0.0162,0.0280,-1.0139
-0.0129,0.0255,-1.0069
-0.0180,0.0248,-1.0138
-0.0177,0.0258,-1.0068
-0.0126,0.0253,-1.0077
-0.0275,0.0234,-1.0111
-0.0149,0.0265,-1.0122
-0.0196,0.0222,-1.0053
-0.0141,0.0296,-1.0120
-0.0199,0.0269,-1.0121
-0.0184,0.0249,-1.0142
-0.0210,0.0242,-1.0168
-0.0159,0.0279,-1.0147
-0.0244,0.0264,-1.0112
-0.0179,0.0203,-1.0187
-0.0120,0.0242,-1.0102
-0.0182,0.0264,-1.0165
-0.0196,0.0203,-1.0158
-0.0205,0.0187,-1.0136
-0.0205,0.0208,-1.0125
-0.0180,0.0221,-1.0050
-0.0155,0.0289,-1.0131
-0.0149,0.0277,-1.0156
-0.0204,0.0352,-1.0134
-0.0163,0.0242,-1.0091
-0.0215,0.0215,-1.0080
-0.0173,0.0163,-1.0119
-0.0186,0.0275,-1.0109
-0.0168,0.0253,-1.0110
-0.0220,0.0221,-1.0150
-0.0227,0.0278,-1.0082
-0.0159,0.0229,-1.0139
-0.0195,0.0289,-1.0102
-0.0119,0.0216,-1.0128
-0.0224,0.0200,-1.0125
-0.0192,0.0232,-1.0174
-0.0173,0.0240,-1.0088
-0.0161,0.0204,-1.0106
-0.0201,0.0304,-1.0121
-0.0198,0.0236,-1.0173
-0.0135,0.0324,-1.0181
-0.0189,0.0246,-1.0141
-0.0137,0.0294,-1.0129
-0.0108,0.0251,-1.0128
-0.0170,0.0224,-1.0069
-0.0158,0.0238,-1.0126
-0.0212,0.0259,-1.0165
