Pos 3 - X HUONG LEN
ax,ay,az
0.9856,0.0278,-0.0124
0.9795,0.0240,-0.0121
0.9837,0.0230,-0.0154
0.9826,0.0298,-0.0054
0.9848,0.0215,-0.0071
0.9790,0.0223,-0.0105
0.9772,0.0278,-0.0122
0.9834,0.0221,-0.0090
0.9838,0.0237,-0.0087
0.9727,0.0263,-0.0124
0.9792,0.0256,-0.0103
0.9794,0.0246,-0.0121
0.9834,0.0293,-0.0136
0.9866,0.0204,-0.0109
0.9760,0.0253,-0.0095
0.9891,0.0252,-0.0146
0.9856,0.0251,-0.0117
0.9852,0.0288,-0.0181
0.9822,0.0249,-0.0157
0.9763,0.0248,-0.0136
0.9795,0.0245,-0.0132
0.9821,0.0305,-0.0121
0.9886,0.0294,-0.0086
0.9795,0.0240,-0.0152
0.9835,0.0248,-0.0105
0.9831,0.0256,-0.0132
0.9786,0.0235,-0.0095
0.9814,0.0248,-0.0090
0.9837,0.0198,-0.0123
0.9790,0.0248,-0.0106
0.9838,0.0308,-0.0138
0.9810,0.0270,-0.0086
0.9784,0.0274,-0.0097
0.9815,0.0240,-0.0094
0.9835,0.0264,-0.0146
0.9760,0.0247,-0.0129
0.9836,0.0223,-0.0098
0.9834,0.0224,-0.0087
0.9808,0.0226,-0.0111
0.9819,0.0218,-0.0098
0.9820,0.0223,-0.0181
0.9835,0.0253,-0.0116
0.9868,0.0163,-0.0076
0.9868,0.0216,-0.0084
0.9792,0.0214,-0.0124
0.9884,0.0263,-0.0118
0.9851,0.0228,-0.0068
0.9875,0.0265,-0.0148
0.9858,0.0260,-0.0097
0.9860,0.0265,-0.0152
0.9872,0.0260,-0.0109
0.9842,0.0261,-0.0094
0.9827,0.0244,-0.0139
0.9802,0.0240,-0.0085
0.9808,0.0246,-0.0124
0.9839,0.0273,-0.0051
0.9771,0.0242,-0.0100
0.9761,0.0311,-0.0124
0.9792,0.0284,-0.0197
0.9827,0.0215,-0.0121
0.9833,0.0278,-0.0106
0.9893,0.0252,-0.0132
0.9863,0.0248,-0.0105
0.9682,0.0266,-0.0123
0.9805,0.0227,-0.0088
0.9749,0.0360,-0.0080
0.9833,0.0317,-0.0110
0.9789,0.0286,-0.0177
0.9841,0.0292,-0.0101
0.9769,0.0257,-0.0124
0.9794,0.0169,-0.0161
0.9802,0.0289,-0.0024
0.9850,0.0222,-0.0135
0.9858,0.0271,-0.0106
0.9828,0.0292,-0.0042
0.9820,0.0256,-0.0102
0.9804,0.0173,-0.0103
0.9794,0.0296,-0.0114
0.9872,0.0220,-0.0080
0.9763,0.0283,-0.0128
0.9853,0.0237,-0.0096
0.9838,0.0263,-0.0105
0.9879,0.0230,-0.0071
0.9808,0.0292,-0.0038
0.9792,0.0175,-0.0114
0.9796,0.0232,-0.0132
0.9801,0.0300,-0.0081
0.9861,0.0331,-0.0147
0.9733,0.0321,-0.0111
0.9818,0.0187,-0.0167
0.9844,0.0245,-0.0195
0.9787,0.0287,-0.0075
0.9827,0.0349,-0.0084
0.9883,0.0297,-0.0091
0.9773,0.0194,-0.0146
0.9829,0.0250,-0.0107
0.9819,0.0267,-0.0085
0.9820,0.0240,-0.0212
0.9851,0.0223,-0.0152
0.9850,0.0282,-0.0096
0.9853,0.0212,-0.0128
0.9801,0.0311,-0.0090
0.9811,0.0279,-0.0107
0.9816,0.0266,-0.0090
0.9815,0.0206,-0.0108
0.9811,0.0210,-0.0147
0.9811,0.0251,-0.0100
0.9813,0.0266,-0.0133
0.9839,0.0264,-0.0100
0.9870,0.0240,-0.0176
0.9817,0.0278,-0.0119
0.9831,0.0190,-0.0149
0.9839,0.0277,-0.0146
0.9833,0.0225,-0.0160
0.9822,0.0258,-0.0106
0.9846,0.0309,-0.0087
0.9807,0.0283,-0.0171
0.9824,0.0287,-0.0096
0.9849,0.0317,-0.0146
0.9848,0.0247,-0.0081
0.9824,0.0277,-0.0066
0.9842,0.0243,-0.0133
0.9796,0.0286,-0.0074
0.9811,0.0187,-0.0142
