Pos 5 - Y HUONG LEN
ax,ay,az
-0.0213,1.0253,-0.0112
-0.0140,1.0281,-0.0107
-0.0157,1.0256,-0.0092
-0.0198,1.0212,-0.0113
-0.0086,1.0278,-0.0145
-0.0131,1.0185,-0.0129
-0.0166,1.0226,-0.0141
-0.0186,1.0231,-0.0147
-0.0218,1.0195,-0.0154
-0.0184,1.0285,-0.0143
-0.0222,1.0306,-0.0160
-0.0177,1.0217,-0.0145
-0.0166,1.0266,-0.0076
-0.0157,1.0255,-0.0098
-0.0216,1.0292,-0.0101
-0.0163,1.0271,-0.0172
-0.0220,1.0255,-0.0115
-0.0160,1.0254,-0.0126
-0.0136,1.0262,-0.0094
-0.0138,1.0294,-0.0109
-0.0155,1.0259,-0.0082
-0.0100,1.0213,-0.0146
-0.0125,1.0257,-0.0135
-0.0204,1.0283,-0.0100
-0.0110,1.0247,-0.0088
-0.0122,1.0200,-0.0157
-0.0171,1.0230,-0.0135
-0.0203,1.0245,-0.0152
-0.0225,1.0263,-0.0116
-0.0146,1.0268,-0.0105
-0.0154,1.0218,-0.0137
-0.0170,1.0283,-0.0097
-0.0187,1.0243,-0.0111
-0.0220,1.0280,-0.0093
-0.0147,1.0285,-0.0085
-0.0246,1.0258,-0.0170
-0.0213,1.0245,-0.0079
-0.0168,1.0258,-0.0058
-0.0172,1.0217,-0.0169
-0.0211,1.0254,-0.0174
-0.0165,1.0261,-0.0145
-0.0176,1.0268,-0.0142
-0.0154,1.0225,-0.0099
-0.0129,1.0261,-0.0165
-0.0177,1.0253,-0.0150
-0.0224,1.0237,-0.0090
-0.0151,1.0292,-0.0122
-0.0111,1.0220,-0.0105
-0.0188,1.0302,-0.0119
-0.0216,1.0258,-0.0159
-0.0211,1.0282,-0.0121
-0.0150,1.0219,-0.0075
-0.0186,1.0181,-0.0151
-0.0229,1.0199,-0.0102
-0.0167,1.0271,-0.0146
-0.0161,1.0199,-0.0137
-0.0186,1.0230,-0.0116
-0.0181,1.0266,-0.0109
-0.0147,1.0233,-0.0097
-0.0170,1.0259,-0.0115
-0.0255,1.0317,-0.0152
-0.0208,1.0239,-0.0166
-0.0119,1.0228,-0.0144
-0.0209,1.0265,-0.0071
-0.0170,1.0223,-0.0074
-0.0170,1.0225,-0.0123
-0.0175,1.0258,-0.0120
-0.0179,1.0315,-0.0021
-0.0174,1.0218,-0.0157
-0.0152,1.0193,-0.0126
-0.0166,1.0256,-0.0134
-0.0116,1.0278,-0.0136
-0.0153,1.0244,-0.0138
-0.0194,1.0291,-0.0140
-0.0182,1.0286,-0.0109
-0.0172,1.0227,-0.0038
-0.0151,1.0167,-0.0074
-0.0225,1.0202,-0.0144
-0.0136,1.0240,-0.0113
-0.0238,1.0288,-0.0129
-0.0225,1.0261,-0.0103
-0.0177,1.0295,-0.0100
-0.0127,1.0248,-0.0116
-0.0150,1.0291,-0.0132
-0.0114,1.0254,-0.0120
-0.0165,1.0220,-0.0178
-0.0108,1.0287,-0.0152
-0.0175,1.0272,-0.0137
