=== BAI 5 - SHOCK DETECTION ===
NGUONG: abs(|a| - 1g) > 2.0 g
Tan so lay mau: 500Hz (buoc 2ms)
Time_ms,Ax,Ay,Az,Magnitude,SHOCK

200,0.008,-0.006,1.002,1.002,0
202,0.010,-0.005,0.996,0.996,0
204,0.009,-0.006,1.002,1.002,0
206,0.008,-0.004,1.009,1.009,0
208,0.010,-0.005,0.999,0.999,0
210,0.005,-0.004,1.010,1.010,0
212,0.008,-0.005,1.006,1.006,0
214,0.004,-0.006,1.005,1.005,0
216,0.011,-0.006,1.005,1.005,0
218,0.009,-0.003,0.997,0.997,0
220,0.010,-0.010,0.990,0.990,0
222,0.006,-0.008,1.007,1.007,0
224,0.010,-0.009,1.007,1.007,0
226,0.005,-0.005,1.002,1.002,0
228,0.008,-0.003,1.006,1.006,0
230,0.009,-0.003,1.005,1.005,0
232,0.006,-0.007,1.001,1.001,0
234,0.009,-0.006,1.015,1.015,0
236,0.006,-0.008,1.007,1.007,0
238,0.012,-0.003,1.007,1.007,0
240,0.012,-0.005,0.996,0.996,0
242,0.006,-0.002,0.996,0.996,0
244,0.008,-0.004,1.001,1.001,0
246,0.010,-0.003,1.015,1.015,0
248,0.010,-0.007,1.000,1.000,0
250,0.006,-0.002,1.000,1.000,0
252,0.008,-0.003,0.999,0.999,0
254,0.007,-0.011,0.998,0.998,0
256,0.006,-0.004,1.009,1.009,0
258,0.008,-0.004,1.004,1.004,0
260,0.011,-0.002,1.004,1.004,0
262,0.005,-0.002,1.005,1.005,0
264,0.012,-0.005,1.013,1.013,0
266,0.007,-0.000,1.004,1.004,0
268,0.006,-0.008,1.002,1.002,0
270,0.012,-0.003,1.006,1.007,0
272,0.001,-0.003,1.006,1.006,0
274,0.006,-0.007,1.003,1.003,0
276,0.013,-0.008,1.001,1.001,0
278,0.012,-0.006,1.001,1.001,0
280,0.008,-0.009,1.004,1.004,0
282,0.004,-0.002,1.003,1.003,0
284,0.015,-0.004,1.010,1.010,0
286,0.004,-0.005,1.005,1.005,0
288,0.013,-0.010,1.008,1.008,0
290,0.010,-0.000,1.007,1.007,0
292,0.008,-0.007,0.997,0.997,0
294,0.009,-0.006,1.013,1.013,0
296,0.006,-0.004,0.995,0.995,0
298,0.007,-0.004,1.007,1.007,0
300,0.012,-0.005,0.997,0.998,0
302,0.009,-0.003,1.005,1.006,0
304,0.006,-0.002,1.003,1.003,0
306,0.010,-0.001,1.006,1.006,0
308,0.009,0.001,1.004,1.004,0
310,0.007,-0.005,1.010,1.010,0
312,0.008,-0.003,1.009,1.009,0
314,0.006,-0.010,1.004,1.005,0
316,0.009,-0.007,1.007,1.007,0
318,0.010,-0.008,1.006,1.006,0
320,0.007,-0.009,1.005,1.005,0
322,0.008,-0.007,1.006,1.006,0
324,0.009,-0.007,1.005,1.005,0
326,0.011,-0.007,1.005,1.005,0
328,0.008,0.002,0.994,0.994,0
330,0.010,-0.006,1.002,1.003,0
332,0.014,-0.005,1.014,1.014,0
334,0.007,-0.004,1.001,1.001,0
336,0.006,-0.005,1.002,1.002,0
338,0.009,-0.011,1.013,1.013,0
340,0.007,0.000,0.998,0.998,0
342,0.009,0.004,0.999,0.999,0
344,0.004,-0.007,1.005,1.005,0
346,0.010,-0.001,1.002,1.002,0
348,0.003,-0.006,1.009,1.009,0
350,0.009,-0.011,1.003,1.003,0
352,0.012,0.001,1.006,1.006,0
354,0.009,-0.009,0.999,0.999,0
356,0.008,-0.003,1.006,1.006,0
358,0.007,-0.008,0.999,0.999,0
360,0.005,-0.003,0.991,0.991,0
362,0.007,-0.004,1.011,1.011,0
364,0.008,-0.002,1.001,1.001,0
366,0.006,-0.007,1.011,1.011,0
368,0.011,-0.004,1.020,1.020,0
370,0.008,-0.003,1.005,1.005,0
372,0.007,0.002,1.011,1.011,0
374,0.004,-0.006,1.005,1.005,0
376,0.010,-0.009,0.992,0.992,0
378,0.002,-0.005,1.002,1.003,0
380,0.009,-0.007,0.997,0.997,0
382,0.002,-0.004,1.005,1.005,0
384,0.011,-0.003,1.002,1.002,0
386,0.012,-0.005,1.000,1.000,0
388,0.006,-0.007,0.992,0.992,0
390,0.008,-0.004,1.001,1.001,0
392,0.006,-0.004,1.012,1.012,0
394,0.008,-0.007,1.000,1.000,0
396,0.008,-0.009,1.002,1.002,0
398,0.008,0.001,1.008,1.008,0
400,0.011,-0.007,1.006,1.006,0
402,0.005,-0.004,1.005,1.005,0
404,0.006,0.001,1.006,1.006,0
406,0.002,-0.003,1.001,1.001,0
408,0.008,-0.004,1.005,1.005,0
410,0.002,-0.008,1.007,1.007,0
412,0.012,0.001,1.012,1.012,0
414,0.002,-0.003,0.993,0.993,0
416,0.013,-0.004,0.997,0.997,0
418,0.014,-0.003,0.994,0.994,0
420,0.009,-0.007,1.004,1.004,0
422,0.007,-0.001,0.996,0.996,0
424,0.009,0.000,0.999,0.999,0
426,0.009,-0.004,1.000,1.000,0
428,0.010,-0.005,0.998,0.998,0
430,0.013,-0.003,1.002,1.002,0
432,0.006,-0.007,1.009,1.009,0
434,0.008,-0.004,1.002,1.002,0
436,0.010,-0.005,1.007,1.007,0
438,0.007,-0.003,1.006,1.006,0
440,0.008,-0.008,0.998,0.998,0
442,0.006,-0.008,1.007,1.007,0
444,0.008,-0.000,1.014,1.014,0
446,0.008,-0.010,1.001,1.001,0
448,0.008,-0.009,1.002,1.002,0
450,0.009,-0.006,0.999,0.999,0
452,0.006,0.000,1.002,1.002,0
454,0.006,-0.006,1.008,1.008,0
456,0.006,-0.004,1.007,1.007,0
458,0.010,-0.001,1.000,1.000,0
460,0.011,-0.007,1.001,1.001,0
462,0.012,-0.003,1.003,1.003,0
464,0.004,-0.003,1.000,1.000,0
466,0.005,-0.007,1.004,1.004,0
468,0.002,-0.004,1.004,1.004,0
470,0.006,-0.002,1.006,1.006,0
472,0.006,-0.007,1.006,1.007,0
474,0.003,-0.006,1.000,1.000,0
476,0.008,-0.004,1.003,1.003,0
478,0.011,-0.004,1.001,1.001,0
480,0.004,-0.003,1.006,1.006,0
482,0.012,-0.007,1.003,1.003,0
484,0.008,-0.005,1.003,1.003,0
486,0.003,-0.003,1.006,1.006,0
488,0.011,0.002,1.001,1.001,0
490,0.008,-0.005,1.013,1.013,0
492,0.003,-0.004,0.996,0.996,0
494,0.000,-0.011,0.996,0.996,0
496,0.011,-0.008,1.002,1.002,0
498,0.005,-0.003,0.997,0.998,0
500,0.012,-0.008,0.999,0.999,0
502,0.008,-0.005,1.010,1.010,0
504,0.008,-0.009,1.000,1.000,0
506,0.006,-0.003,1.005,1.005,0
508,0.008,-0.002,1.000,1.000,0
510,0.008,-0.004,1.011,1.011,0
512,0.008,-0.006,0.998,0.998,0
514,0.010,-0.007,1.005,1.005,0
516,0.002,-0.002,0.996,0.996,0
518,0.006,-0.002,0.996,0.996,0
520,0.008,-0.005,0.998,0.998,0
522,0.012,-0.001,0.993,0.993,0
524,0.004,-0.003,0.996,0.996,0
526,0.007,-0.005,1.006,1.006,0
528,0.007,-0.005,0.999,0.999,0
530,0.012,-0.006,1.005,1.005,0
532,0.006,-0.005,1.002,1.002,0
534,0.008,-0.008,1.007,1.007,0
536,0.012,-0.004,1.007,1.007,0
538,0.011,-0.002,1.005,1.005,0
540,0.009,-0.002,1.003,1.003,0
542,0.005,-0.005,0.994,0.994,0
544,0.008,-0.004,1.009,1.009,0
546,0.008,-0.002,1.003,1.003,0
548,0.005,-0.009,0.998,0.998,0
550,0.004,-0.003,1.002,1.002,0
552,0.010,-0.005,1.008,1.008,0
554,0.011,-0.007,1.002,1.002,0
556,0.006,-0.010,1.006,1.006,0
558,0.012,-0.005,1.001,1.001,0
560,0.011,-0.012,1.004,1.004,0
562,0.008,-0.007,1.010,1.010,0
564,0.011,-0.006,1.003,1.003,0
566,0.007,-0.007,0.996,0.997,0
568,0.012,-0.002,1.007,1.007,0
570,0.005,0.001,1.013,1.013,0
572,0.009,-0.008,0.999,0.999,0
574,0.009,-0.008,1.003,1.003,0
576,0.011,-0.010,1.013,1.013,0
578,0.013,-0.009,0.996,0.996,0
580,0.007,-0.008,1.002,1.002,0
582,0.000,-0.006,1.012,1.012,0
584,0.005,-0.006,0.996,0.996,0
586,0.010,-0.006,1.013,1.013,0
588,0.009,-0.006,1.006,1.006,0
590,0.006,-0.009,1.005,1.005,0
592,0.007,-0.005,1.005,1.005,0
594,0.006,-0.004,1.012,1.012,0
596,0.005,0.000,1.002,1.002,0
598,0.006,0.002,1.004,1.004,0
600,0.013,-0.000,0.995,0.995,0
>>> SHOCK 1 DETECTED! <<<
602,0.315,-0.218,3.061,3.085,1
604,0.504,-0.336,4.327,4.369,1
606,0.506,-0.335,4.327,4.370,1
608,0.318,-0.203,3.061,3.084,1
>>> SHOCK 1 KET THUC. Thoi gian xung: 8 ms | Bien do dinh: 4.370 g | Settling time (~+-5%): 78 ms <<<
610,0.000,-0.005,1.006,1.006,0
612,0.134,-0.087,2.015,2.021,0
614,0.086,-0.056,1.655,1.658,0
616,0.038,-0.026,1.234,1.235,0
618,-0.017,0.010,0.839,0.839,0
620,-0.048,0.031,0.551,0.554,0
622,-0.068,0.048,0.384,0.393,0
624,-0.072,0.045,0.359,0.368,0
626,-0.065,0.040,0.449,0.456,0
628,-0.042,0.029,0.637,0.639,0
630,-0.013,0.005,0.838,0.838,0
632,0.015,-0.014,1.060,1.061,0
634,0.035,-0.028,1.221,1.222,0
636,0.040,-0.034,1.316,1.317,0
638,0.042,-0.037,1.333,1.335,0
640,0.039,-0.035,1.302,1.303,0
642,0.035,-0.023,1.205,1.206,0
644,0.017,-0.016,1.105,1.105,0
646,0.006,-0.002,0.989,0.989,0
648,-0.001,-0.001,0.901,0.901,0
650,-0.011,0.006,0.839,0.839,0
652,-0.018,0.013,0.827,0.828,0
654,-0.015,0.005,0.843,0.843,0
656,-0.006,0.000,0.883,0.883,0
658,0.006,0.001,0.938,0.938,0
660,0.006,-0.001,0.998,0.998,0
662,0.014,-0.014,1.051,1.051,0
664,0.016,-0.011,1.084,1.084,0
666,0.021,-0.021,1.099,1.099,0
668,0.019,-0.012,1.093,1.093,0
670,0.014,-0.004,1.067,1.067,0
672,0.012,-0.010,1.037,1.037,0
674,0.012,-0.002,1.007,1.007,0
676,0.006,-0.004,0.988,0.988,0
678,0.005,-0.008,0.968,0.968,0
680,-0.002,0.003,0.939,0.939,0
682,0.000,-0.003,0.956,0.956,0
684,0.004,-0.000,0.970,0.970,0
686,0.004,-0.000,0.981,0.981,0
688,0.005,-0.010,0.994,0.994,0
690,0.005,-0.000,1.014,1.014,0
692,0.012,-0.009,1.018,1.018,0
694,0.003,-0.009,1.026,1.026,0
696,0.005,-0.005,1.022,1.022,0
698,0.005,-0.005,1.026,1.026,0
700,0.011,-0.013,1.021,1.022,0
702,0.006,-0.007,1.001,1.001,0
704,0.006,-0.010,0.995,0.995,0
706,0.010,-0.007,0.998,0.998,0
708,0.002,-0.008,0.991,0.991,0
710,0.005,-0.005,1.001,1.001,0
712,0.007,-0.004,1.001,1.001,0
714,0.003,-0.005,1.001,1.001,0
716,0.010,-0.008,1.001,1.001,0
718,0.009,-0.006,1.005,1.005,0
720,0.011,-0.005,1.015,1.015,0
722,0.015,-0.008,1.002,1.002,0
724,0.006,-0.004,1.008,1.008,0
726,0.006,-0.005,1.004,1.004,0
728,0.002,-0.009,0.999,0.999,0
730,0.006,-0.008,1.007,1.007,0
