# MPU6050 Phan 6 - Simulated Data
# Time_ms, Roll_Accel(deg), Pitch_Accel(deg), Roll_Gyro(deg), Pitch_Gyro(deg), Yaw_Gyro(deg), Roll_CF(deg), Pitch_CF(deg), Roll_KF(deg), Pitch_KF(deg), Ax_lin(g), Ay_lin(g), Az_lin(g)
0,10.14,-5.72,10.14,-5.72,0.00,10.14,-5.72,10.14,-5.72,0.0000,0.0000,0.0000
10,-17.55,0.04,10.14,-5.72,0.00,9.59,-5.61,10.13,-5.72,-0.0905,-0.4352,-0.0060
20,-2.72,-5.37,10.14,-5.72,0.00,9.34,-5.60,10.13,-5.72,0.0260,-0.1924,0.2991
30,-0.71,-10.74,10.14,-5.72,-0.00,9.14,-5.71,10.12,-5.73,0.1495,-0.1420,0.3467
40,-0.49,0.97,10.14,-5.72,-0.00,8.95,-5.57,10.10,-5.72,-0.1084,-0.1267,-0.0687
50,1.05,0.93,10.14,-5.72,0.00,8.79,-5.44,10.08,-5.71,-0.1030,-0.0969,-0.0282
60,3.88,-12.04,10.14,-5.73,0.00,8.69,-5.58,10.07,-5.72,0.1606,-0.0308,0.2313
70,-0.79,-6.94,10.15,-5.73,-0.00,8.51,-5.61,10.06,-5.73,0.0369,-0.1213,0.1330
80,-3.30,2.55,10.16,-5.73,0.00,8.28,-5.44,10.03,-5.71,-0.1412,-0.1626,0.1467
90,-3.50,-4.97,10.15,-5.72,0.01,8.04,-5.43,9.98,-5.70,0.0100,-0.1601,0.1707
100,-5.84,2.84,10.15,-5.72,0.00,7.76,-5.26,9.92,-5.67,-0.1338,-0.1812,0.0001
110,5.72,2.63,10.15,-5.71,-0.01,7.72,-5.10,9.91,-5.63,-0.1275,0.0273,0.0815
120,-5.72,-3.00,10.15,-5.72,0.00,7.45,-5.06,9.84,-5.62,-0.0202,-0.1785,0.0663
130,7.40,16.37,10.15,-5.71,0.00,7.45,-4.62,9.83,-5.52,-0.3263,0.0433,-0.0953
